mot,frequence,categorie_suggestion (à remplir)
"jingling",40,
"around",40,
"punchy",40,
"fill",40,
"ending",40,
"plucked",40,
"unknown",40,
"bakery",40,
"disc",40,
"universe",40,
"comet",40,
"expand",40,
"rooster",40,
"heli",40,
"medium attack",40,
"braking",40,
"extinguish",40,
"toppy",40,
"vegetable",40,
"grabbing",40,
"58 calibre",40,
"spacious",40,
"cheap",40,
"direction",40,
"purse",40,
"martial",40,
"archaic",40,
"blacksmithing",40,
"ice skating",40,
"injured",40,
"cloths",40,
"people whistling",40,
"gadget",40,
"rapid flapping",40,
"map",40,
"plugbar",40,
"keystroke",40,
"low pitch",39,
"musician",39,
"fade",39,
"danger",39,
"squeaks",39,
"notebook",39,
"pencil",39,
"carpet",39,
"branch",39,
"comb",39,
"length",39,
"thuds",39,
"downpour",39,
"f22",39,
"deep hit",39,
"vibrant",39,
"atmospheric",39,
"transient",39,
"transfer",39,
"tech",39,
"anger",39,
"space shuttle",39,
"cogwheel",39,
"wine",39,
"brushing",39,
"approx 4m",39,
"lmg",39,
"balance",39,
"cat domestic",39,
"shifting into gear",39,
"deceleration",39,
"nutcracker",39,
"banshee",39,
"acoustic guitar",38,
"connect",38,
"crushed",38,
"unfolding",38,
"crate",38,
"roaring",38,
"batter",38,
"pouch",38,
"tiles",38,
"depart",38,
"crying",38,
"public transportation",38,
"attached",38,
"orders",38,
"waterbody",38,
"canister",38,
"pitch falling",38,
"distant perspective",38,
"long range",38,
"quickdraw",38,
"tent",38,
"pause",38,
"kazoo",38,
"flicker",38,
"densely mumbling",38,
"left hoofs",38,
"right hoofs",38,
"e60",38,
"kart",38,
"rustling and shuffling",38,
"yeti",38,
"bigfoot",38,
"cocktail",38,
"dice",38,
"bamboo",37,
"continuously",37,
"riding",37,
"weird",37,
"stretch",37,
"accept",37,
"men",37,
"waste",37,
"celebrate",37,
"pine",37,
"long duration",37,
"weak",37,
"neutral",37,
"slice",37,
"pouring",37,
"necklace",37,
"inserting",37,
"slimy",37,
"cord",37,
"gradual",37,
"shattering",37,
"popping",37,
"repeating",37,
"zapper",37,
"sine",37,
"rusty metal machine",37,
"fix",37,
"unscrew",37,
"swordplay",37,
"quickdraws",37,
"hurry",37,
"v6",37,
"nautical",37,
"house wren",37,
"reptilian",37,
"tongue",36,
"reversed",36,
"kid",36,
"forth",36,
"show",36,
"ripping",36,
"woodwork",36,
"soft impact",36,
"universal serial bus",36,
"double-click",36,
"zap",36,
"plastering",36,
"upkeep",36,
"maintenance",36,
"struggle",36,
"low throttle",36,
"single strong",36,
"clinking",36,
"groaning",36,
"cookie",36,
"alive",36,
"ears",36,
"adrenaline",36,
"chunky",36,
"warship",36,
"utensil",36,
"germany",36,
"faucet",36,
"mace",36,
"warfare",36,
"revolver",36,
"kalashnikov",36,
"packing",36,
"luggage",36,
"distant bird chirping",36,
"onride amusement",36,
"roller coaster",36,
"fair",36,
"theme park",36,
"bj",36,
"vintage car",36,
"busy",36,
"frogs",36,
"ruckle",36,
"bell like timbre",36,
"ring out",35,
"unhappy",35,
"passing by",35,
"other",35,
"microwave",35,
"soil",35,
"turn off",35,
"bubbly",35,
"cargo",35,
"direct signal",35,
"frying",35,
"cobblestone",35,
"wobbly",35,
"agitated",35,
"part",35,
"wildcat",35,
"coins",35,
"dagger",35,
"outdoors",35,
"bolt action",35,
"stamper",35,
"pong",35,
"rumbling stones",35,
"and cracking sticks",35,
"lair",35,
"mucilage",35,
"v8",35,
"gearknob",35,
"karting",35,
"resize",35,
"crinkling",35,
"drowning",35,
"yellow warbler",35,
"western guitar",34,
"tilt",34,
"rattling sound",34,
"tapping",34,
"sticky",34,
"seamless loop",34,
"double hits",34,
"bundle",34,
"drain",34,
"burp",34,
"attention",34,
"splashy",34,
"teaser",34,
"braam",34,
"frequencies",34,
"high frequency",34,
"high voltage",34,
"against",34,
"sweeping",34,
"vacuum",34,
"slamming",34,
"toothbrush",34,
"calls",34,
"single shot",34,
"beer",34,
"fuzz",34,
"rasp",34,
"unfold",34,
"replace",34,
"mix",34,
"porcelain",34,
"applauding and whistling",34,
"talking and mumbling",34,
"appaloosa",34,
"flowerpot",34,
"graze",34,
"public place",34,
"western meadowlark",34,
"navigation",34,
"deejay",33,
"bumpy",33,
"didgeridoo",33,
"rice",33,
"glockenspiel",33,
"rotating",33,
"rumple",33,
"commode",33,
"basic",33,
"roof",33,
"current",33,
"squishing",33,
"deafening",33,
"droning",33,
"copter",33,
"decrescendo",33,
"wide stereo image",33,
"crushing",33,
"android",33,
"shock",33,
"hood",33,
"fluctuate",33,
"bathtub",33,
"watch",33,
"20m distance",33,
"pointing to muzzle",33,
"1.5m behind shooter",33,
"approx",33,
"15cm distance",33,
"behind shooter",33,
"8m distance",33,
"6m distance",33,
"standard",33,
"single movement",33,
"toothpaste",33,
"motorized",33,
"baa",33,
"young panther",33,
"deny",33,
"flopping",33,
"northern cardinal",33,
"shimmer",32,
"detuned",32,
"clarinet",32,
"increase",32,
"arabic",32,
"straight",32,
"cards",32,
"cd",32,
"fired",32,
"scan",32,
"printing",32,
"overtones",32,
"full power",32,
"full throttle",32,
"dji",32,
"mavic",32,
"upside down",32,
"pneumatic",32,
"thread",32,
"put down",32,
"pointing towards muzzle",32,
"squall",32,
"shoes",32,
"without weight plates",32,
"woof",32,
"dirt & sand",32,
"surprise",32,
"work platform",32,
"lifting platform",32,
"construct",32,
"preamp",32,
"herd",32,
"panting",32,
"vulture",32,
"petrol",32,
"distant traffic",32,
"wildlife",32,
"emotive",32,
"credit",32,
"identification",32,
"small band",32,
"navigate",32,
"hermes",32,
"symbol",32,
"minor",31,
"timbre",31,
"trilling",31,
"gust",31,
"drumming",31,
"foreign",31,
"cadence",31,
"grip",31,
"rustling sound",31,
"filling",31,
"low rumble",31,
"beater",31,
"sweet",31,
"balls",31,
"cream",31,
"tweet",31,
"spark",31,
"numbers",31,
"hovercraft",31,
"zing",31,
"highly",31,
"fast movement",31,
"bones",31,
"injure",31,
"russian",31,
"selective fire",31,
"colt m4",31,
"toss",31,
"toaster",31,
"football",31,
"snarling",31,
"frightened",31,
"goat",31,
"red-winged blackbird",31,
"join",31,
"poof on impact",31,
"dasher",31,
"cornflakes",31,
"citrus",31,
"tooth",31,
"mute",30,
"chaotic",30,
"head",30,
"atonal",30,
"twang",30,
"oud",30,
"sway",30,
"crease",30,
"collect",30,
"underground",30,
"pond",30,
"wash up",30,
"close distance",30,
"while",30,
"clamp",30,
"suction",30,
"patter",30,
"base",30,
"breaking",30,
"windy",30,
"tunnel",30,
"exhaust",30,
"honking",30,
"item",30,
"submerged",30,
"bank",30,
"small metal machine",30,
"tie down strap",30,
"loop strap",30,
"two piece strap",30,
"coin",30,
"reverb rippling outward",30,
"whirr",30,
"commercial",30,
"50 calibre",30,
"silenced",30,
"latex",30,
"buggy",30,
"painful screams",30,
"closed mouth",30,
"extension",30,
"distressed",30,
"hand mixer",30,
"sock",30,
"whistling and applauding",30,
"controls",30,
"amphibian",30,
"chestnut",30,
"abs brake skid",30,
"train station",30,
"northern flicker",30,
"roasting",30,
"skillet",30,
"stylized echo",30,
"cursor",30,
"salve",30,
"harmonics",29,
"electric guitar",29,
"clerical",29,
"department",29,
"careful",29,
"slapping",29,
"wiggly",29,
"cash",29,
"shirt",29,
"9mm",29,
"rev up",29,
"cutter",29,
"spaghetti",29,
"sail",29,
"low mid resonance",29,
"very fast decay",29,
"isolated",29,
"drips",29,
"snorting",29,
"bug",29,
"decelerating",29,
"recorded close",29,
"health",29,
"ship hull",29,
"trashcan",29,
"undress",29,
"injury",29,
"apple",29,
"vibe",29,
"roller shutter",29,
"display",29,
"rimfire",29,
"uncap",29,
"adhesive",29,
"sponge",29,
"cart",29,
"salad",29,
"opened",29,
"scabbard",29,
"cell",29,
"lunatic",29,
"maniac",29,
"exhaling",29,
"medium pace",29,
"wild cat",29,
"automotive",29,
"house finch",29,
"peel",29,
"descend",28,
"classical guitar",28,
"snare",28,
"destroyed",28,
"cow",28,
"dent",28,
"pick up",28,
"with high force",28,
"chest",28,
"soap",28,
"leave",28,
"kicking",28,
"compressor",28,
"bits and pieces",28,
"enormous",28,
"droid",28,
"everyday",28,
"draining",28,
"sheet metal",28,
"basin",28,
"pull out",28,
"reverberating in distance",28,
"dry fire",28,
"heavy bass",28,
"machine gun",28,
"early",28,
"cubicle",28,
"dispenser",28,
"security",28,
"crank",28,
"long painful shouts",28,
"snatch",28,
"differing in speed",28,
"biting",28,
"hackle",28,
"ventilation",28,
"people shouting woo",28,
"woo!",28,
"rubberized switch",28,
"gummed",28,
"pet",28,
"hawk",28,
"car chase",28,
"withered",28,
"briar",28,
"brushwood",28,
"brambles",28,
"mf",28,
"freeway",28,
"autobahn",28,
"tablecloth",28,
"squad repeating",28,
"poisoning",28,
"little monster",28,
"fold out",28,
"phonograph",28,
"objective",28,
"mechanical noise",28,
"vibrating smart phone",28,
"buzzing and static",28,
"gritty",27,
"octave",27,
"phrase",27,
"trills",27,
"fail",27,
"triangle",27,
"towel",27,
"folder",27,
"sandpaper",27,
"bench",27,
"generic wood",27,
"soft sound",27,
"variations",27,
"but",27,
"discharge",27,
"very",27,
"fastly",27,
"low rpm",27,
"patting",27,
"rest",27,
"grumble",27,
"bomber",27,
"multiple instances",27,
"explosive",27,
"center",27,
"punching low resonance",27,
"single strong hit",27,
"oil",27,
"pulsing",27,
"lifter",27,
"girl",27,
"loaded",27,
"magnetic",27,
"flex",27,
"sharpener",27,
"volley",27,
"semiautomatic",27,
"mg",27,
"elemental",27,
"seal",27,
"air bag",27,
"slot",27,
"distantly",27,
"barking",27,
"reel",27,
"adjustment",27,
"beans",27,
"moving chairs",27,
"chirps",27,
"offspring",27,
"forward honking",27,
"s4",27,
"single rev ups",27,
"constant revving",27,
"prius",27,
"minimal pedestrian activity",27,
"denture",27,
"f1",26,
"arpeggio",26,
"cement",26,
"pages",26,
"plank",26,
"earthquake",26,
"knuckles",26,
"enter",26,
"ripples",26,
"cliff",26,
"meow",26,
"broom",26,
"loopable",26,
"trimmer",26,
"sized",26,
"squash",26,
"moist",26,
"robotic",26,
"drastic",26,
"fountain",26,
"active",26,
"medium tail",26,
"sent",26,
"crinkle",26,
"gigantic",26,
"rubbing alcohol",26,
"thirsty",26,
"frame",26,
"shut off",26,
"left side",26,
"mono shotgun microphone",26,
"right side",26,
"xy cardioid microphones",26,
"impulse",26,
"rugged",26,
"sit",26,
"dump",26,
"vent",26,
"trick",26,
"cue",26,
"mash",26,
"sweets",26,
"whistling and mumbling",26,
"marquee",26,
"applauding and mumbling",26,
"cracking sticks",26,
"toggle",26,
"winder",26,
"flowers",26,
"ii",26,
"kamaz",26,
"pa",26,
"emotions",26,
"masculine",26,
"send",26,
"options",26,
"single hit",25,
"reed",25,
"erratic",25,
"rehearsal",25,
"timpani",25,
"temple",25,
"cowbell",25,
"wide",25,
"oriental",25,
"qanun",25,
"decrease",25,
"gloomy",25,
"parchment",25,
"lumber",25,
"shelf",25,
"basket",25,
"firm",25,
"grains",25,
"missile",25,
"chopper",25,
"bursts",25,
"variation",25,
"ghostly",25,
"slight low rumble",25,
"much",25,
"ascending pitch",25,
"rumbling noise",25,
"distinct",25,
"transmission",25,
"crawl",25,
"summon",25,
"engage",25,
"isopropyl",25,
"hinge",25,
"felt",25,
"mech",25,
"nato",25,
"cock",25,
"gum",25,
"stirring",25,
"wiping",25,
"rocking",25,
"crowing",25,
"inflate",25,
"question",25,
"wiggling",25,
"decoration",25,
"compartment",25,
"disappear",25,
"stand mixer",25,
"freight",25,
"arthropoda",25,
"wasp",25,
"baaing",25,
"handbrake",25,
"formula",25,
"swimming trunks",25,
"shake out",25,
"clucking",25,
"cute",25,
"pizza",25,
"slot machine",25,
"digest",25,
"months",25,
